Variable,Method,Horizon,Period,NFixed,NRecursive
CPI,lagged_error,3,2010Q1--2019Q4,40,40
CPI,lagged_error,3,2022Q1--2025Q2,14,14
UNEMP,lagged_error,4,1969Q1--2025Q2,211,211
UNEMP,lagged_error,4,1969Q1--2025Q2*,203,203
UNEMP,lagged_error,4,1969Q1--1999Q4,109,109
UNEMP,lagged_error,4,2000Q1--2025Q2,102,102
UNEMP,lagged_error,4,2000Q1--2025Q2*,94,94
UNEMP,lagged_error,4,2000Q1--2008Q4,36,36
UNEMP,lagged_error,4,2000Q1--2019Q4,80,80
UNEMP,lagged_error,4,2010Q1--2019Q4,40,40
UNEMP,lagged_error,4,2022Q1--2025Q2,14,14
RGDP,lagged_error,4,1969Q1--2025Q2,212,212
RGDP,lagged_error,4,1969Q1--2025Q2*,204,204
RGDP,lagged_error,4,1969Q1--1999Q4,109,109
RGDP,lagged_error,4,2000Q1--2025Q2,103,103
RGDP,lagged_error,4,2000Q1--2025Q2*,95,95
RGDP,lagged_error,4,2000Q1--2008Q4,36,36
RGDP,lagged_error,4,2000Q1--2019Q4,80,80
RGDP,lagged_error,4,2010Q1--2019Q4,40,40
RGDP,lagged_error,4,2022Q1--2025Q2,15,15
INDPROD,lagged_error,4,1969Q1--2025Q2,211,211
INDPROD,lagged_error,4,1969Q1--2025Q2*,203,203
INDPROD,lagged_error,4,1969Q1--1999Q4,109,109
INDPROD,lagged_error,4,2000Q1--2025Q2,102,102
INDPROD,lagged_error,4,2000Q1--2025Q2*,94,94
INDPROD,lagged_error,4,2000Q1--2008Q4,36,36
INDPROD,lagged_error,4,2000Q1--2019Q4,80,80
INDPROD,lagged_error,4,2010Q1--2019Q4,40,40
INDPROD,lagged_error,4,2022Q1--2025Q2,14,14
CPI,lagged_error,4,1981Q3--2025Q2,167,167
CPI,lagged_error,4,1981Q3--2025Q2*,159,159
CPI,lagged_error,4,1981Q3--1999Q4,65,65
CPI,lagged_error,4,2000Q1--2025Q2,102,102
CPI,lagged_error,4,2000Q1--2025Q2*,94,94
CPI,lagged_error,4,2000Q1--2008Q4,36,36
CPI,lagged_error,4,2000Q1--2019Q4,80,80
CPI,lagged_error,4,2010Q1--2019Q4,40,40
CPI,lagged_error,4,2022Q1--2025Q2,14,14
UNEMP,nowcast_proxy,1,1969Q1--2025Q2,225,225
UNEMP,nowcast_proxy,1,1969Q1--2025Q2*,217,217
UNEMP,nowcast_proxy,1,1969Q1--1999Q4,123,123
UNEMP,nowcast_proxy,1,2000Q1--2025Q2,102,102
UNEMP,nowcast_proxy,1,2000Q1--2025Q2*,94,94
UNEMP,nowcast_proxy,1,2000Q1--2008Q4,36,36
UNEMP,nowcast_proxy,1,2000Q1--2019Q4,80,80
UNEMP,nowcast_proxy,1,2010Q1--2019Q4,40,40
UNEMP,nowcast_proxy,1,2022Q1--2025Q2,14,14
RGDP,nowcast_proxy,1,1969Q1--2025Q2,226,226
RGDP,nowcast_proxy,1,1969Q1--2025Q2*,218,218
RGDP,nowcast_proxy,1,1969Q1--1999Q4,123,123
RGDP,nowcast_proxy,1,2000Q1--2025Q2,103,103
RGDP,nowcast_proxy,1,2000Q1--2025Q2*,95,95
RGDP,nowcast_proxy,1,2000Q1--2008Q4,36,36
RGDP,nowcast_proxy,1,2000Q1--2019Q4,80,80
RGDP,nowcast_proxy,1,2010Q1--2019Q4,40,40
RGDP,nowcast_proxy,1,2022Q1--2025Q2,15,15
INDPROD,nowcast_proxy,1,1969Q1--2025Q2,225,225
INDPROD,nowcast_proxy,1,1969Q1--2025Q2*,217,217
INDPROD,nowcast_proxy,1,1969Q1--1999Q4,123,123
INDPROD,nowcast_proxy,1,2000Q1--2025Q2,102,102
INDPROD,nowcast_proxy,1,2000Q1--2025Q2*,94,94
INDPROD,nowcast_proxy,1,2000Q1--2008Q4,36,36
INDPROD,nowcast_proxy,1,2000Q1--2019Q4,80,80
INDPROD,nowcast_proxy,1,2010Q1--2019Q4,40,40
INDPROD,nowcast_proxy,1,2022Q1--2025Q2,14,14
CPI,nowcast_proxy,1,1981Q3--2025Q2,174,174
CPI,nowcast_proxy,1,1981Q3--2025Q2*,166,166
CPI,nowcast_proxy,1,1981Q3--1999Q4,72,72
CPI,nowcast_proxy,1,2000Q1--2025Q2,102,102
CPI,nowcast_proxy,1,2000Q1--2025Q2*,94,94
CPI,nowcast_proxy,1,2000Q1--2008Q4,36,36
CPI,nowcast_proxy,1,2000Q1--2019Q4,80,80
CPI,nowcast_proxy,1,2010Q1--2019Q4,40,40
CPI,nowcast_proxy,1,2022Q1--2025Q2,14,14
UNEMP,nowcast_proxy,2,1969Q1--2025Q2,223,223
UNEMP,nowcast_proxy,2,1969Q1--2025Q2*,215,215
UNEMP,nowcast_proxy,2,1969Q1--1999Q4,121,121
UNEMP,nowcast_proxy,2,2000Q1--2025Q2,102,102
UNEMP,nowcast_proxy,2,2000Q1--2025Q2*,94,94
UNEMP,nowcast_proxy,2,2000Q1--2008Q4,36,36
UNEMP,nowcast_proxy,2,2000Q1--2019Q4,80,80
UNEMP,nowcast_proxy,2,2010Q1--2019Q4,40,40
UNEMP,nowcast_proxy,2,2022Q1--2025Q2,14,14
RGDP,nowcast_proxy,2,1969Q1--2025Q2,224,224
RGDP,nowcast_proxy,2,1969Q1--2025Q2*,216,216
RGDP,nowcast_proxy,2,1969Q1--1999Q4,121,121
RGDP,nowcast_proxy,2,2000Q1--2025Q2,103,103
RGDP,nowcast_proxy,2,2000Q1--2025Q2*,95,95
RGDP,nowcast_proxy,2,2000Q1--2008Q4,36,36
RGDP,nowcast_proxy,2,2000Q1--2019Q4,80,80
RGDP,nowcast_proxy,2,2010Q1--2019Q4,40,40
RGDP,nowcast_proxy,2,2022Q1--2025Q2,15,15
INDPROD,nowcast_proxy,2,1969Q1--2025Q2,223,223
INDPROD,nowcast_proxy,2,1969Q1--2025Q2*,215,215
INDPROD,nowcast_proxy,2,1969Q1--1999Q4,121,121
INDPROD,nowcast_proxy,2,2000Q1--2025Q2,102,102
INDPROD,nowcast_proxy,2,2000Q1--2025Q2*,94,94
INDPROD,nowcast_proxy,2,2000Q1--2008Q4,36,36
INDPROD,nowcast_proxy,2,2000Q1--2019Q4,80,80
INDPROD,nowcast_proxy,2,2010Q1--2019Q4,40,40
INDPROD,nowcast_proxy,2,2022Q1--2025Q2,14,14
